1	informatique
2	informatique
2	informaticien
3	informatique
3	science des données
3	système embarqué
3	science de l'information
3	bits
4	informatique
4	domaine scientifique
4	bio-informatique
4	science de la communication
4	silicon valley
5	ibm
6	google maps
7	open source
8	itunes
9	google
10	informatique
11	informatique
11	algorithmique
11	algorithmes
12	algorithme
12	machine à calculer
12	charles babbage
12	cartes perforées
12	complexité
12	complexité en taille
12	complexité en temps
12	complexité en espace
13	algorithme
13	machine à calculer
13	charles babbage
13	cartes perforées
13	complexité
13	complexité en taille
13	complexité en temps
13	complexité en espace
14	algorithme
14	machine à calculer
14	charles babbage
14	cartes perforées
14	complexité
14	complexité en taille
14	complexité en temps
14	complexité en espace
15	algorithmes
15	instructions
15	datacenter
16	algorithmes
16	instructions
16	datacenter
17	algorithme
17	calcul d'une puissance
18	algorithme
18	calcul d'une puissance
19	algorithme
19	calcul d'une puissance
20	algorithme
20	calcul d'une puissance
21	algorithme
21	calcul d'une puissance
22	algorithme
22	calcul d'une puissance
23	algorithme
23	calcul d'une puissance
24	algorithme
24	case mémoire
24	complexité en espace
25	algorithme
25	exponentiation rapide
26	algorithmes
26	langage algorithmique
26	instructions
27	algorithmique
27	instructions
27	variable
27	type
27	instruction
27	structure de contrôle
27	fonction
27	tableau
27	bio-informatique
27	traitement automatique des langues naturelles
27	cryptographie
28	algorithmique
28	instructions
28	variable
28	type
28	instruction
28	structure de contrôle
28	fonction
28	tableau
28	bio-informatique
28	traitement automatique des langues naturelles
28	cryptographie
29	algorithmique
29	programmation
30	algorithmique
30	programmation
31	algorithme
31	langage informatique
32	javascript
32	environnement de programmation
32	lars bak
32	google
32	dassault systèmes
33	environnement de programmation
33	bibliothèque de fonctions
34	environnement de programmation
35	algorithmique
35	programmation
35	langage de programmation
35	langage algorithmique
36	algorithmique
36	programmation
36	langage de programmation
36	langage algorithmique
37	algorithmique
37	programmation
37	langage de programmation
37	langage algorithmique
